,UID,cloudProdID,productID,shortID,colorNum,title,subtitle,category,type,currency,fullPrice,currentPrice,sale,TopColor,channel,short_description,rating,customizable,ExtendedSizing,inStock,ComingSoon,BestSeller,Excluded,GiftCard,Jersey,Launch,MemberExclusive,NBA,NFL,Sustainable,label,prebuildId,prod_url,color-ID,color-Description,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New,color-Label,color-Image-url
3,156f0f21-c268-55cc-913f-19c3543c2da5156f0f21-c268-55cc-913f-19c3543c2da5,156f0f21-c268-55cc-913f-19c3543c2da5,d26989ee-50ff-4451-ae61-6dbbbed06bc8,6dbbbed06bc8,1,"Tatum 1 ""Zoo""",Basketball Shoes,jordan,FOOTWEAR,USD,120,120,False,Black/University Red/Beach/Metallic Gold,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Family time is just as important to Jayson Tatum as his on-court minutes, and that's what this premium colorway is all about. The Tatum 1 ""Zoo"" takes a walk on the wild side, with a design inspired by Jay's favorite place to bring his son. Swaths of giraffe, zebra and big cat prints criss-cross the upper, adding layers of texture and color. Embroidery on the tongue keeps the animal theme on the prowl. And classic pops of red tie the look back to Jordan heritage.",5,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/tatum-1-zoo-basketball-shoes-98vPwk/DX5572-001,156f0f21-c268-55cc-913f-19c3543c2da5,Black/University Red/Beach/Metallic Gold,120,120.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/ea71d48c-673c-4929-a6b6-e918c9b2cce6/image.jpg"
4,b6a6f200-5fbc-5af9-98cb-df7453e43f22b6a6f200-5fbc-5af9-98cb-df7453e43f22,b6a6f200-5fbc-5af9-98cb-df7453e43f22,626d07bd-f218-47e5-a833-81309112be6d,81309112be6d,1,"Tatum 1 ""Zoo""",Big Kids' Basketball Shoes,jordan,FOOTWEAR,USD,90,90,False,Black/University Red/Beach/Metallic Gold,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Family time is just as important to Jayson Tatum as his on-court minutes, and that's what this premium colorway is all about. The Tatum 1 ""Zoo"" takes a walk on the wild side, with a design inspired by Jay's favorite place to bring his son. Swaths of giraffe, zebra and big cat prints criss-cross the upper, adding layers of texture and color. Embroidery on the tongue keeps the animal theme on the prowl. And classic pops of red tie the look back to Jordan heritage.",0,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/tatum-1-zoo-big-kids-basketball-shoes-kWsxJ3/FJ4653-001,b6a6f200-5fbc-5af9-98cb-df7453e43f22,Black/University Red/Beach/Metallic Gold,90,90.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/557238aa-c133-440a-bd0d-daf26fb51c6d/image.jpg"
5,2af6b6a1-f2b3-5257-a51a-810f6120ffe52af6b6a1-f2b3-5257-a51a-810f6120ffe5,2af6b6a1-f2b3-5257-a51a-810f6120ffe5,fb304e52-c812-498d-9d83-1c6ddbe89b78,1c6ddbe89b78,1,"Tatum 1 ""Zoo""",Little Kids' Shoes,jordan,FOOTWEAR,USD,75,75,False,Black/University Red/Beach/Metallic Gold,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Family time is just as important to Jayson Tatum as his on-court minutes, and that's what this premium colorway is all about. The Tatum 1 ""Zoo"" takes a walk on the wild side, with a design inspired by Jay's favorite place to bring his son. Swaths of giraffe, zebra and big cat prints criss-cross the upper, adding layers of texture and color. Embroidery on the tongue keeps the animal theme on the prowl. And classic pops of red tie the look back to Jordan heritage.",0,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/tatum-1-zoo-little-kids-shoes-F33LLV/FJ4654-001,2af6b6a1-f2b3-5257-a51a-810f6120ffe5,Black/University Red/Beach/Metallic Gold,75,75.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/614f098f-b105-4fd3-9207-18cb7e21ab05/image.jpg"
6,4ee433f6-ea44-561f-99a8-ea6858fa17954ee433f6-ea44-561f-99a8-ea6858fa1795,4ee433f6-ea44-561f-99a8-ea6858fa1795,0d316caf-be1d-449a-9b91-ba11c3f8fb1f,ba11c3f8fb1f,1,"Tatum 1 ""Zoo""",Baby/Toddler Shoes,jordan,FOOTWEAR,USD,55,55,False,Black/University Red/Beach/Metallic Gold,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Family time is just as important to Jayson Tatum as his on-court minutes, and that's what this premium colorway is all about. The Tatum 1 ""Zoo"" takes a walk on the wild side, with a design inspired by Jay's favorite place to bring his son. Swaths of giraffe, zebra and big cat prints criss-cross the upper, adding layers of texture and color. Embroidery on the tongue and eyestays keeps the animal theme on the prowl. And classic pops of red tie the look back to Jordan heritage.",0,False,False,True,False,False,False,False,False,False,False,False,False,False,JUST_IN,,https://www.nike.com/t/tatum-1-zoo-baby-toddler-shoes-fmjNVw/FJ4655-001,4ee433f6-ea44-561f-99a8-ea6858fa1795,Black/University Red/Beach/Metallic Gold,55,55.0,False,False,True,False,True,JUST_IN,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/0ca46de5-f30f-4ada-a55a-bba5501995c8/image.jpg"
7,924883d2-4949-59a1-a43a-d8a116be6a3a924883d2-4949-59a1-a43a-d8a116be6a3a,924883d2-4949-59a1-a43a-d8a116be6a3a,f8ae1259-a422-416f-8c91-ca3a65709292,ca3a65709292,1,Air Jordan 1 Mid,Men's Shoes,jordan,FOOTWEAR,USD,125,125,False,Lucky Green/White/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Inspired by the original AJ1, this mid-top edition maintains the iconic look you love while choice colors and crisp leather give it a distinct identity.",4.9,False,False,False,True,True,False,False,False,False,True,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-b3js2D/DQ8426-301,924883d2-4949-59a1-a43a-d8a116be6a3a,Lucky Green/White/Black,125,125.0,False,True,False,True,False,COMING_SOON,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/ea3a034a-351d-4d5e-9e39-6ebe24eebd23/image.jpg"
8,924883d2-4949-59a1-a43a-d8a116be6a3ac70a8df5-3e11-5ee6-a1c0-8d06e247d97e,924883d2-4949-59a1-a43a-d8a116be6a3a,f8ae1259-a422-416f-8c91-ca3a65709292,ca3a65709292,2,Air Jordan 1 Mid,Men's Shoes,jordan,FOOTWEAR,USD,125,125,False,Lucky Green/White/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Inspired by the original AJ1, this mid-top edition maintains the iconic look you love while choice colors and crisp leather give it a distinct identity.",4.9,False,False,False,True,True,False,False,False,False,True,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-b3js2D/DQ8426-301,c70a8df5-3e11-5ee6-a1c0-8d06e247d97e,Game Royal/Phantom/White/Rush Orange,125,125.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/8061baec-449e-433b-89b3-8234dde499bd/image.jpg"
9,924883d2-4949-59a1-a43a-d8a116be6a3a3d5b2ebd-39ee-5bce-9aec-ef89a4a85303,924883d2-4949-59a1-a43a-d8a116be6a3a,f8ae1259-a422-416f-8c91-ca3a65709292,ca3a65709292,3,Air Jordan 1 Mid,Men's Shoes,jordan,FOOTWEAR,USD,125,125,False,Lucky Green/White/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Inspired by the original AJ1, this mid-top edition maintains the iconic look you love while choice colors and crisp leather give it a distinct identity.",4.9,False,False,False,True,True,False,False,False,False,True,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-b3js2D/DQ8426-301,3d5b2ebd-39ee-5bce-9aec-ef89a4a85303,Dark Concord/White/Black/Taxi,125,93.97,True,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/5f90d20d-93a5-48a8-bb26-750139d0e3f0/image.jpg"
10,924883d2-4949-59a1-a43a-d8a116be6a3a855f7124-e52e-5144-9c03-a0af8cb7bef8,924883d2-4949-59a1-a43a-d8a116be6a3a,f8ae1259-a422-416f-8c91-ca3a65709292,ca3a65709292,4,Air Jordan 1 Mid,Men's Shoes,jordan,FOOTWEAR,USD,125,125,False,Lucky Green/White/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Inspired by the original AJ1, this mid-top edition maintains the iconic look you love while choice colors and crisp leather give it a distinct identity.",4.9,False,False,False,True,True,False,False,False,False,True,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-b3js2D/DQ8426-301,855f7124-e52e-5144-9c03-a0af8cb7bef8,Black/White/Fire Red,125,125.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/4b5264a2-7885-44b6-8e5d-7074e28289bf/image.jpg"
11,924883d2-4949-59a1-a43a-d8a116be6a3a094e9c96-3ae5-58a5-830f-eec343158ffc,924883d2-4949-59a1-a43a-d8a116be6a3a,f8ae1259-a422-416f-8c91-ca3a65709292,ca3a65709292,5,Air Jordan 1 Mid,Men's Shoes,jordan,FOOTWEAR,USD,125,125,False,Lucky Green/White/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Inspired by the original AJ1, this mid-top edition maintains the iconic look you love while choice colors and crisp leather give it a distinct identity.",4.9,False,False,False,True,True,False,False,False,False,True,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-b3js2D/DQ8426-301,094e9c96-3ae5-58a5-830f-eec343158ffc,Cherrywood Red/Cement Grey/White,125,106.97,True,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/3b14fa48-f61f-4c57-a875-e14d6aa51a54/image.jpg"
12,924883d2-4949-59a1-a43a-d8a116be6a3ad2cb5861-9f0a-5f74-a90a-f8a6d7d66c7a,924883d2-4949-59a1-a43a-d8a116be6a3a,f8ae1259-a422-416f-8c91-ca3a65709292,ca3a65709292,6,Air Jordan 1 Mid,Men's Shoes,jordan,FOOTWEAR,USD,125,125,False,Lucky Green/White/Black,"['NikeApp', 'Nike.com', 'Nike Store Experiences']","Inspired by the original AJ1, this mid-top edition maintains the iconic look you love while choice colors and crisp leather give it a distinct identity.",4.9,False,False,False,True,True,False,False,False,False,True,False,False,False,COMING_SOON,,https://www.nike.com/t/air-jordan-1-mid-mens-shoes-b3js2D/DQ8426-301,d2cb5861-9f0a-5f74-a90a-f8a6d7d66c7a,Cement Grey/True Blue/White,125,125.0,False,True,True,False,False,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/cf2e9611-78c8-47e8-b109-7cf5f66087f1/image.jpg"
